Case Number,Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude,removal_reason
JF473095,2023-06-28 00:00:00,THEFT,THEFT - DETAIL,  SIDEWALK  ,N,3,41.87701558727475,-87.91389070086687,duplicate_case_number
JC883132,2022-04-21 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,  PARK  ,false,19,41.82381241807148,-87.68215256266606,duplicate_case_number
JG631958,2024-09-19 11:14:37,THEFT,THEFT - DETAIL,PARK,False,21,41.94798951732164,-87.53850713503559,duplicate_case_number
JF621841,2024-06-07 00:00:00,THEFT,THEFT - DETAIL,CTA PLATFORM,N,4,41.67002315410495,-87.56108515827172,duplicate_case_number
JE475075,2024-02-05 00:00:00,ROBBERY,ROBBERY - DETAIL,PARK,false,17,41.88357429012475,-87.89843542830096,duplicate_case_number
JG501620,2022-08-31 00:00:00,NARCOTICS,NARCOTICS - DETAIL,"SCHOOL, PUBLIC, BUILDING",N,19,41.66989653802441,-87.81425476015285,duplicate_case_number
JD758775,2021-01-13 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,ALLEY,N,5,41.76200307230405,-87.93975729837233,duplicate_case_number
JF301158,2022-08-10 00:00:00,THEFT,THEFT - DETAIL,BANK,N,21,41.816577058563766,-87.54768713470882,duplicate_case_number
JE394234,2020-01-28 00:00:00,THEFT,THEFT - DETAIL,  GROCERY/FOOD STORE  ,false,9,41.888687980471886,-87.82945556415231,duplicate_case_number
JE804258,2021-01-03 00:00:00,THEFT,THEFT - DETAIL,GROCERY/FOOD STORE,N,18,41.82009706712281,-87.69942934180254,duplicate_case_number
JC156415,2023-01-15 11:01:49,ROBBERY,ROBBERY - DETAIL,STREET,False,18,41.817920099825606,-87.63597351444915,duplicate_case_number
JG893041,2022-12-05 08:53:28,THEFT,THEFT - DETAIL,GAS STATION,,1,41.87437267789191,-87.83735688702197,duplicate_case_number
JD649063,2020-08-03 10:19:08,ASSAULT,ASSAULT - DETAIL,RESIDENCE,1,4,,,duplicate_case_number
JD533021,2022-06-08 00:00:00,ROBBERY,ROBBERY - DETAIL,ALLEY,N,5,41.850316492052364,-87.63038883665219,duplicate_case_number
JF694797,2024-09-19 14:20:34,ASSAULT,ASSAULT - DETAIL,STREET,False,21,41.769880295106034,-87.71690598839938,duplicate_case_number
JG481104,2021-04-23 08:38:24,BATTERY,BATTERY - DETAIL,SIDEWALK,0,24,,,duplicate_case_number
JE970840,2023-04-10 00:00:00,THEFT,THEFT - DETAIL,STREET,false,3,41.775379933008,-87.90547132290162,duplicate_case_number
JG948809,2021-01-03 18:28:27,ROBBERY,ROBBERY - DETAIL,PARK,,19,41.81674699075028,-87.59044037122771,duplicate_case_number
JG948749,2020-12-20 13:53:29,BATTERY,BATTERY - DETAIL,CTA PLATFORM,False,9,,,duplicate_case_number
JG585854,2021-01-26 07:14:35,THEFT,THEFT - DETAIL,CTA PLATFORM,False,16,41.81467570325116,-87.86656842692769,duplicate_case_number
JH456778,2022-10-22 22:13:54,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,GAS STATION,False,2,41.97974584650266,-87.67732826359295,duplicate_case_number
JH426592,2021-11-27 13:11:55,BURGLARY,BURGLARY - DETAIL,  CTA PLATFORM  ,False,6,41.99352634862891,-87.6102279703134,duplicate_case_number
JH629837,2023-03-22 03:35:07,NARCOTICS,NARCOTICS - DETAIL,CTA PLATFORM,,3,41.77337763049838,-87.69766220768031,duplicate_case_number
JG373336,2024-04-17 23:46:22,BURGLARY,BURGLARY - DETAIL,RESTAURANT,,9,41.837054818867486,-87.8694579402117,duplicate_case_number
JF302299,2022-11-20 02:41:24,THEFT,THEFT - DETAIL,SIDEWALK,True,1,41.999512075358254,-87.80048419308567,duplicate_case_number
JG992810,2023-02-13 10:47:14,THEFT,THEFT - DETAIL,"SCHOOL, PUBLIC, BUILDING",False,20,41.90359639428581,-87.81463410161756,duplicate_case_number
JG418148,2022-01-10 22:47:59,THEFT,THEFT - DETAIL,  APARTMENT  ,True,15,41.7519359867736,-87.83382460292515,duplicate_case_number
JC818247,2021-05-25 15:34:40,BATTERY,BATTERY - DETAIL,SIDEWALK,,10,41.82810370360944,-87.90563558107186,duplicate_case_number
JF647707,2024-09-14 22:45:13,THEFT,THEFT - DETAIL,  STREET  ,0,99,41.68507233065395,-87.60508730412378,duplicate_case_number
JH247068,2023-05-26 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,ALLEY,false,22,,,duplicate_case_number
JG116977,2022-09-21 18:38:24,BURGLARY,BURGLARY - DETAIL,  GAS STATION  ,False,20,41.875175728296725,-87.84805229041753,duplicate_case_number
JC529715,2021-05-15 00:00:00,OTHER OFFENSE,OTHER OFFENSE - DETAIL,GAS STATION,N,19,41.69013264676472,-87.71892247258894,duplicate_case_number
JE592718,2022-03-23 19:49:55,THEFT,THEFT - DETAIL,STREET,False,8,41.944095640852986,-87.79515607837817,duplicate_case_number
JC105181,2023-09-13 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,SIDEWALK,N,4,41.94720650171928,-87.64004537956029,duplicate_case_number
JG923073,2020-06-12 22:55:40,BATTERY,BATTERY - DETAIL,RESIDENCE,0,19,41.830470537963805,-87.75469238419473,duplicate_case_number
JE272129,2024-11-22 20:49:12,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,GAS STATION,False,12,41.79065880229557,-87.83342313681918,duplicate_case_number
JG861253,2021-02-26 07:37:23,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,"SCHOOL, PUBLIC, BUILDING",False,06,41.89941720268772,-87.58576990280538,duplicate_case_number
JF745092,2024-02-14 06:24:13,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,  RESTAURANT  ,,19,41.73207494501729,-87.53154847354396,duplicate_case_number
JF359535,2023-11-06 11:44:39,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,"SCHOOL, PUBLIC, BUILDING",False,7,41.68717825730009,-87.66473122841366,duplicate_case_number
JH790130,2024-01-31 00:00:00,ASSAULT,ASSAULT - DETAIL,RESIDENCE,N,19,41.82357665246546,-87.68143147072851,duplicate_case_number
JD607243,2020-06-04 00:00:00,ROBBERY,ROBBERY - DETAIL,CTA PLATFORM,false,10,41.889766396058,-87.84217409187248,duplicate_case_number
JD915987,2020-05-21 00:00:00,BATTERY,BATTERY - DETAIL,APARTMENT,N,4,,,duplicate_case_number
JH289448,2021-06-21 03:50:50,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,GAS STATION,True,8,41.72450976503204,-87.6431079307177,duplicate_case_number
JD496011,2023-06-12 12:24:46,ROBBERY,ROBBERY - DETAIL,  BANK  ,,21,41.8180224805888,-87.85414762399625,duplicate_case_number
JH170528,2021-02-27 21:37:22,NARCOTICS,NARCOTICS - DETAIL,APARTMENT,0,25,,,duplicate_case_number
JE110043,2020-10-22 20:58:37,OTHER OFFENSE,OTHER OFFENSE - DETAIL,GROCERY/FOOD STORE,True,1,,,duplicate_case_number
JG904092,2024-04-21 15:50:30,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,RESIDENCE,False,2,41.99713869914152,-87.89224061145477,duplicate_case_number
JG940208,2021-03-29 00:00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,PARK,false,11,41.84607004331522,-87.828683304804,duplicate_case_number
JE574239,2024-06-22 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,RESTAURANT,false,18,41.8245800414085,-87.53448012162814,duplicate_case_number
JF827759,2024-01-26 00:00:00,ASSAULT,ASSAULT - DETAIL,ALLEY,N,10,41.749152369091895,-87.65931288671788,duplicate_case_number
JD909438,2023-06-13 00:00:00,BATTERY,BATTERY - DETAIL,GAS STATION,false,24,41.95227066480661,-87.55852863840373,duplicate_case_number
JC430868,2021-06-11 06:08:40,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,PARKING LOT/GARAGE,0,99,41.673138614489005,-87.92609134087179,duplicate_case_number
JG132975,2023-03-01 00:00:00,BATTERY,BATTERY - DETAIL,STREET,Y,1,41.99964695635155,-87.65194184290127,duplicate_case_number
JF487063,2024-01-08 00:40:27,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,APARTMENT,False,8,41.87196229085379,-87.84373774077746,duplicate_case_number
JH290065,2022-01-25 00:00:00,BATTERY,BATTERY - DETAIL,SIDEWALK,N,2,41.93641111609279,-87.76086066725085,duplicate_case_number
JE753205,2024-03-28 20:17:32,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,SIDEWALK,0,4,41.94063481731981,-87.85132829318142,duplicate_case_number
JC755879,2022-01-01 00:00:00,HOMICIDE,HOMICIDE - DETAIL,GROCERY/FOOD STORE,false,3,41.72483577312274,-87.62205091835652,duplicate_case_number
JH889056,2024-03-12 07:12:07,NARCOTICS,NARCOTICS - DETAIL,GAS STATION,,15,41.71076364716821,-87.65391395563046,duplicate_case_number
